d15N	NDFA	Type
1.10495783226054	77.9121828556202	Mexicana
0.359843178807076	92.8068292724958	Mexicana
0.420540504162151	91.5935056646138	Mexicana
-0.923666502808074	118.463851036447	Mexicana
1.95952568835145	60.8295956367172	Parviglumis
2.20567453931662	55.9091446912771	Parviglumis
2.96367724797918	40.7568694323824	Parviglumis
3.25512398291377	34.9309256718028	Parviglumis
2.78087989742562	44.4109405069716	Parviglumis
3.70320938325539	25.9738160891105	Parviglumis
1.93382086579738	61.3434282950562	Parviglumis
3.86965786386753	22.6465546349792	Parviglumis
3.08182979074685	38.3950311037134	Parviglumis
2.95445506747051	40.9412184010043	Parviglumis
2.44866033150701	51.0519224608109	Parviglumis
2.58453431270869	48.3358372276561	Parviglumis
4.38938630531095	12.257319458601	Parviglumis
3.73222356427259	25.3938302234138	Parviglumis
5.47720525159618	-9.48789585209005	Parviglumis
5.68876323533528	-13.7168844377479	Parviglumis
4.1967448777359	16.1081710499284	Parviglumis
2.5589807125169	48.8466469906513	Parviglumis
2.68498286730065	46.3278969773882	Parviglumis
2.41611196536737	51.7025557597937	Parviglumis
4.27818300121348	14.4802443296171	Parviglumis
4.5438761935584	9.16910712810503	Parviglumis
3.59204412769246	28.1959803799041	Parviglumis
1.92795509202567	61.4606835736715	Parviglumis
8.31592235283425	-66.2331058738116	Tepitongo
12.6072046998587	-152.014714029907	Tepitongo
11.5906852254519	-131.694756454272	Tepitongo
10.6344584229226	-112.580033569678	Tepitongo
12.5957115005545	-151.784967991439	Tepitongo
9.99352075674683	-99.7678577941793	Tepitongo
9.17192776555673	-83.3444294725888	Tepitongo
9.85867067276306	-97.0722399977569	Tepitongo
11.4251190988816	-128.385133025922	Tepitongo
12.4595283084985	-149.062701714438	Tepitongo
9.0346090086864	-80.5994635529028	Tepitongo
9.3090242207212	-86.084951639503	Tepitongo
8.01395142534756	-60.1967862654882	Tepitongo
4.9069759334797	1.91083859839473	Tepitongo
9.75803997569177	-95.0606587671185	Tepitongo
8.02336146234216	-60.3848904359735	Tepitongo
6.90561936956038	-38.0415192781509	Tepitongo
5.31536659423015	-6.25278355510788	Tepitongo
7.10743868114311	-42.0758343626678	Tepitongo
8.39160887676298	-67.7460596282651	Tepitongo
8.29782552501779	-65.8713550340664	Tepitongo
6.2466252826707	-24.8684003902848	Tepitongo
5.51981548333753	-10.3396632043854	Tepitongo
5.16844279480112	-3.3158153548765	Tepitongo
3.41639019932533	31.7072563193016	Tepitongo
-1.24097226904863	124.806710047854	Tipikal
0.273201243394786	94.5387788279885	Tipikal
-2.97921065079589	159.553639214218	Tipikal
-1.20413259589167	124.070294647562	Tipikal
-1.04372674828422	120.863823841708	Tipikal
0.457243558754863	90.8598212335749	Tipikal
-1.00949051081112	120.179450437639	Tipikal
-0.666916996508003	113.331495772297	Tipikal
-1.78286077971845	135.638919193635	Tipikal
-0.767887582654766	115.349871296373	Tipikal
0.343705738357471	93.1294124728881	Tipikal
1.23134907180351	75.3856551401097	Tipikal
