GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames22063:81N4HABXX:2:G12,W6720-2,W 6720-2,NCRPIS,AMES 22063,95ncai01 SD,
Ames22063:D0D0BACXX:3:G7,W6720-2,W 6720-2,NCRPIS,AMES 22063,10476,
Ames22064:81FE8ABXX:5:G10,W6728,W 6728,NCRPIS,AMES 22064,95ncai01 SD,
Ames22064:D0D0BACXX:3:B4,W6728,W 6728,NCRPIS,AMES 22064,10223,
Ames22065:81FE8ABXX:5:D5,W6757,W 6757,NCRPIS,AMES 22065,95ncai01 SD,
Ames22065:D0D0BACXX:3:H6,W6757,W 6757,NCRPIS,AMES 22065,10535,
Ames22066:81FENABXX:3:H3,W6786,W 6786,NCRPIS,AMES 22066,95ncai01 SD,
Ames22067:81FE8ABXX:5:D10,W7151,W 7151,NCRPIS,AMES 22067,94ncei01 SD,
Ames22067:D0D0BACXX:3:E3,W7151,W 7151,NCRPIS,AMES 22067,10098,
Ames22439:81FE8ABXX:1:B8,A73,A73,NCRPIS,AMES 22439,98ncai01 SD,
Ames22439:D0D0BACXX:3:H4,A73,A73,NCRPIS,AMES 22439,10251,
Ames22440:81FE7ABXX:1:B11,not included,CI90C,NCRPIS,AMES 22440,04ncai02 SD,
Ames22440:81FE7ABXX:2:E11,not included,CI90C,NCRPIS,AMES 22440,98ncai01 SD,
Ames22440:81FENABXX:4:A5,CI90C,CI90C,NCRPIS,AMES 22440,04ncai01 SD,
Ames22440:D0D0BACXX:4:D5,not included,CI90C,NCRPIS,AMES 22440,12642,
Ames22440:D0D0BACXX:4:F5,CI90C,CI90C,NCRPIS,AMES 22440,12634,
Ames22440:D0D0BACXX:4:G5,not included,CI90C,NCRPIS,AMES 22440,12630,
Ames22442:81FE8ABXX:6:B7,Ms100,Ms100,NCRPIS,AMES 22442,03ncai01 SD,
Ames22443:81FE8ABXX:5:C3,A188,A188,NCRPIS,AMES 22443,96ncai02 SD,
Ames22443:81FE8ABXX:6:H11,A188,A188,NCRPIS,AMES 22443,06ncai01 SD,
Ames22443:81FENABXX:6:A1,A188,A188,NCRPIS,AMES 22443,96ncai01 SD,
Ames22443:D0D0BACXX:3:A8,A188,A188,NCRPIS,AMES 22443,10472,
Ames22443:D0D0BACXX:3:C6,A188,A188,NCRPIS,AMES 22443,10423,
Ames22443:D0D0BACXX:3:F6,A188,A188,NCRPIS,AMES 22443,10435,
Ames22748:81FE7ABXX:3:F10,H100,H100,NCRPIS,AMES 22748,01ncai01 SD,
Ames22748:81FE7ABXX:6:E2,H100,H100,NCRPIS,AMES 22748,07ncai01 SD,
Ames22748:81N4HABXX:7:B7,H100,H100,NCRPIS,AMES 22748,04ncai01 SD,
Ames22749:81N4HABXX:7:C7,H104W,H104W,NCRPIS,AMES 22749,02ncai02 SD,
Ames22750:81N4HABXX:6:D12,H112,H112,NCRPIS,AMES 22750,01ncab01 SD,
